file,datetime,date,time,stage,stage_name,prev_stage,transition,incident_state,continuity_min,refire_count,predicted_fault_type,unified_risk_score,unified_risk_level,hot_area,hot_score,affected_areas,propagation_chain,flow_signals,maxcapa_signals,M16HUB_score,M14_score,M14B_score,M16A_score,M16B_score,M16_score,M16_PKT_score,M16_WT_score,M16HUB_signals,M14_signals,M14B_signals,M16A_signals,M16B_signals,M16HUB_ra,M14_ra,M14B_ra,M16A_ra,M16B_ra,M16HUB_rb_diff30,M14_rb_diff30,M14B_rb_diff30,M16A_rb_diff30,M16B_rb_diff30,M16HUB_rd_fab,M16HUB_stb_util,M16HUB_rev_count,M16HUB_rev_lids,sla_M14,sla_M14B,sla_M16A,sla_M16B,sla_M16HUB,sorter_M14,sorter_M14B,sorter_M16A,sorter_M16B,sorter_M16HUB,reason,M16HUB_pts_RA,M16HUB_pts_RA_sus,M16HUB_pts_RB,M16HUB_pts_RB_fast,M16HUB_pts_RC,M16HUB_pts_RD,M16HUB_pts_SLA,M16HUB_pts_SORT,M16HUB_pts_MAXCAPA,M14_pts_RA,M14_pts_RA_sus,M14_pts_RB,M14_pts_RB_fast,M14_pts_RC,M14_pts_RD,M14_pts_SLA,M14_pts_SORT,M14_pts_MAXCAPA,M14B_pts_RA,M14B_pts_RA_sus,M14B_pts_RB,M14B_pts_RB_fast,M14B_pts_RC,M14B_pts_RD,M14B_pts_SLA,M14B_pts_SORT,M14B_pts_MAXCAPA,M16A_pts_RA,M16A_pts_RA_sus,M16A_pts_RB,M16A_pts_RB_fast,M16A_pts_RC,M16A_pts_RD,M16A_pts_SLA,M16A_pts_SORT,M16A_pts_MAXCAPA,M16B_pts_RA,M16B_pts_RA_sus,M16B_pts_RB,M16B_pts_RB_fast,M16B_pts_RC,M16B_pts_RD,M16B_pts_SLA,M16B_pts_SORT,M16B_pts_MAXCAPA,layer1_total,flow_score,sla_score_total,sorter_score_total,mc_score_total,M16HUB_ra_count,M14_ra_count,M14B_ra_count,M16A_ra_count,M16B_ra_count,M16HUB_rb_diff10,M14_rb_diff10,M14B_rb_diff10,M16A_rb_diff10,M16B_rb_diff10,M16HUB_rc_trend,M14_cnv_skew,M14_rd_oht,M14B_rd_oht,M16A_rd_oht,M16B_rd_oht,M16HUB_sla_cnt,M14_sla_cnt,M16A_sla_cnt,M16B_sla_cnt,M16A_sorter_fail,M16B_sorter_fail,M16HUB_score_raw,M14_score_raw,M14B_score_raw,M16A_score_raw,M16B_score_raw,MACHINE,PORT:후(after),PROCESS,TRANSACTIONID,BOTTLENECK_downward_anomaly_cols,BOTTLENECK_upward_anomaly_cols,QUEUE_downward_anomaly_cols,QUEUE_upward_anomaly_cols
M16A_HUBROOM_PR.csv,2026-08-11 00:00,2026-08-11,00:00,1,1단계 조기경보,3,3→1,IDLE,0,0,HUB-MLUD,31,,M16HUB,25,M16HUB;M16A,"M16HUB(23:00,RA+RD) → M16A(23:00,RA_sus+MAXCAPA*1) → M14(23:18,RA_sus+RB_fast+SLA)",,M16A:2F_LFT_MAXCAPA=36(<=40),25,5,5,15,10,0,0,0,RA+RC+RD,RA_sus,RA_sus,RA_sus+MAXCAPA*1,RA_sus+SLA,4.23,2.51,3.99,2.36,3.06,13,16,3,62,6,0.59,98.82,4,"6ABL6021,6ABL6032,6ABL0121,6ABL0122",14.36,0,5.68,17.35,0,38,20,35,24,0,"hot_area=M16HUB; S1조기경보; 발동: M16HUB[R-A'(AVGTOTALTIME1MIN=4.23분/기준9.0),R-C'(역증가4개:6ABL6021,6ABL6032,6ABL0121,6ABL0122),R-D(FAB저장=0.6%,STB=98.8%)]; M14[R-A_sus]; M14B[R-A_sus]; M16A[R-A_sus,MAXCAPA1개변경]; M16B[R-A_sus,SLA(17.4%4분초과)]; 운영자조치:M16A:2F_LFT_MAXCAPA=36(<=40)",10,0,0,0,8,7,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,5,0,0,0,0,5,0,0,55.0,0,2.5,0,10.0,3,0,0,0,0,28,18,5,20,4,-1,0.58,84.82,89.96,78.51,91.58,0,132,41,157,0,0,25,5,5,15,10,,,,,,,,
M16A_HUBROOM_PR.csv,2026-08-11 00:01,2026-08-11,00:01,1,1단계 조기경보,1,,IDLE,0,0,HUB-MLUD,35,,M16HUB,30,M16HUB;M16A;M16B,"M16HUB(23:01,RA+RC+RD) → M16A(23:01,RA_sus+MAXCAPA*1)",,M16A:2F_LFT_MAXCAPA=36(<=40),30,5,5,15,20,0,0,0,RA+RA_sus+RC+RD,RA_sus,RA_sus,RA_sus+MAXCAPA*1,RA+RA_sus+SLA,6.48,2.77,4.08,2.40,3.52,11,6,1,61,4,0.59,98.82,2,"6ABL6032,6ABL0121",14.57,0,5.75,18.06,0,43,20,35,24,0,"hot_area=M16HUB; S1조기경보; 발동: M16HUB[R-A'(AVGTOTALTIME1MIN=6.48분/기준9.0),R-A_sus,R-C'(역증가2개:6ABL6032,6ABL0121),R-D(FAB저장=0.6%,STB=98.8%)]; M14[R-A_sus]",10,5,0,0,8,7,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,10,5,0,0,0,0,5,0,0,65.0,0,2.5,0,10.0,3,0,0,0,1,22,15,4,22,3,-10,0.54,87.16,90.35,82.29,90.46,0,119,37,147,0,0,30,5,5,15,20,,,,,,,,
M16A_HUBROOM_PR.csv,2026-08-11 00:02,2026-08-11,00:02,3,3단계 확정,1,1→3,ACTIVE,2,0,HUB-MLUD,62,,M16HUB,55,M16HUB;M16A;M16B,"M16HUB(23:02,RA+RC+RD)",,M16A:2F_LFT_MAXCAPA=36(<=40),55,5,0,15,15,0,0,0,RA+RA_sus+RC+RD,RA_sus,,RA_sus+MAXCAPA*1,RA+RA_sus,10.79,2.80,3.28,2.49,2.72,2,-3,6,66,-5,0.59,98.82,3,"6ABL6031,6ABL6032,6ABL0121",14.72,0,5.12,15.33,0,41,21,38,29,0,"hot_area=M16HUB; S3확정; 발동: M16HUB[R-A'(AVGTOTALTIME1MIN=10.79분/기준9.0),R-A_sus,R-C'(역증가3개:6ABL6031,6ABL6032,6ABL0121),R-D(FAB저장=0.6%,STB=98.8%)]; M14[R-A_sus]",25,5,0,0,10,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,10,5,0,0,0,0,0,0,0,57.5,0,0,0,10.0,4,0,0,0,1,17,7,6,21,1,-15,0.54,86.87,90.35,80.99,89.20,0,135,29,109,0,0,55,5,0,15,15,,,,,HID_35_FROM_SUM_A,HID_30_TO_SUM_B,M16HUB.QUE.TIME.AVGTOTALTIME1MIN_A,
M16A_HUBROOM_PR.csv,2026-08-11 00:03,2026-08-11,00:03,1,1단계 조기경보,3,3→1,IDLE,0,1,HUB-MLUD,29,,M16HUB,22,M16HUB;M16A;M16B,"M16HUB(23:03,RA+RC+RD)",,M16A:2F_LFT_MAXCAPA=36(<=40),22,5,5,15,15,0,0,0,RA+RA_sus+RD,RA_sus,RA_sus,RA_sus+MAXCAPA*1,RA+RA_sus,5.30,2.78,4.03,2.57,2.91,5,4,2,51,-7,0.59,98.82,1,6ABL0121,14.75,0,5.49,16.39,0,43,24,35,29,0,"hot_area=M16HUB; S1조기경보; 발동: M16HUB[R-A'(AVGTOTALTIME1MIN=5.30분/기준9.0),R-A_sus,R-D(FAB저장=0.6%,STB=98.8%)]; M14[R-A_sus]",10,5,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,10,5,0,0,0,0,0,0,0,54.5,0,0,0,10.0,3,0,0,0,1,12,7,-5,19,3,-18,0.55,89.01,90.22,81.64,88.08,0,122,36,137,0,0,22,5,5,15,15,,,,,,,,
