HID_No,Zone_ID,Sub_Region,Full_Name,Project,ZCU,HID_Type,Vehicle_Max
HID-OHT-059,B45,1,HID-B45-1(059),M14 Project Ph-1,ZC385A,HID4,37
HID-OHT-058,B45,2,HID-B45-2(058),M14 Project Ph-1,ZC382A,HID4,37
HID-OHT-060,B46,1,HID-B46-1(060),M14 Project Ph-1,ZC371A,HID4,37
HID-OHT-167,B46,2,HID-B46-2(167),M14 Project Ph-1,ZC372A,MiniHID,5
HID-OHT-166,B46,3,HID-B46-3(166),M14 Project Ph-1,ZC374A,MiniHID,5
HID-OHT-165,B46,4,HID-B46-4(165),M14 Project Ph-1,ZC376A,MiniHID,5
HID-OHT-061,B47,1,HID-B47-1(061),M14 Project Ph-1,ZC365A,HID4,37
HID-OHT-062,B48,1,HID-B48-1(062),M14 Project Ph-1,ZC357A,HID4,37
HID-OHT-063,B49,1,HID-B49-1(063),M14 Project Ph-1,ZC356A,HID4,37
HID-OHT-065,B50,1,HID-B50-1(065),M14 Project Ph-1,ZC354A,HID4,37
HID-OHT-064,B50,2,HID-B50-2(064),M14 Project Ph-1,ZC355A,HID4,37
HID-OHT-066,B51,1,HID-B51-1(066),M14 Project Ph-1,ZC346A,HID4,37
HID-OHT-067,B52,1,HID-B52-1(067),M14 Project Ph-1,ZC342A,HID4,37
HID-OHT-068,B53,1,HID-B53-1(068),M14 Project Ph-1,ZC339A,HID4,37
HID-OHT-069,B54,1,HID-B54-1(069),M14 Project Ph-1,ZC336A,HID4,37
HID-OHT-070,B55,1,HID-B55-1(070),M14 Project Ph-1,ZC333A,HID4,37
HID-OHT-071,B56,1,HID-B56-1(071),M14 Project Ph-1,ZC330A,HID4,37
HID-OHT-073,B57,1,HID-B57-1(073),M14 Project Ph-1,ZC320A,HID4,37
HID-OHT-072,B57,2,HID-B57-2(072),M14 Project Ph-1,ZC326A,HID4,37
HID-OHT-074,B58,1,HID-B58-1(074),M14 Project Ph-1,ZC319A,HID4,37
HID-OHT-076,B59,1,HID-B59-1(076),M14 Project Ph-1,ZC316A,HID4,37
HID-OHT-075,B59,2,HID-B59-2(075),M14 Project Ph-1,ZC318A,HID4,37
