_time,VEHICLE,HID
2026-04-21 14:00:36.630+0900,BV0241,11121
2026-04-21 14:00:36.842+0900,BV0301,10641
2026-04-21 14:00:37.347+0900,BV0314,11091
2026-04-21 14:00:37.529+0900,BV0196,10681
2026-04-21 14:00:38.027+0900,BV0060,11111
2026-04-21 14:00:38.448+0900,BV0065,33
2026-04-21 14:00:38.875+0900,BV0184,10641
2026-04-21 14:00:39.465+0900,BV0374,10721
2026-04-21 14:00:39.943+0900,BV0358,11101
2026-04-21 14:00:39.962+0900,BV0328,11121
2026-04-21 14:00:39.998+0900,BV0169,10851
2026-04-21 14:00:40.030+0900,BV0356,11111
2026-04-21 14:00:40.293+0900,BV0333,10811
2026-04-21 14:00:40.580+0900,BV0342,11041
2026-04-21 14:00:40.586+0900,BV0184,10641
2026-04-21 14:00:40.782+0900,BV0374,10711
2026-04-21 14:00:41.354+0900,BV0184,10641
2026-04-21 14:00:41.387+0900,BV0333,10811
2026-04-21 14:00:41.403+0900,BV0199,10631
2026-04-21 14:00:41.491+0900,BV0184,10641
2026-04-21 14:00:41.824+0900,BV0169,10851
2026-04-21 14:00:42.241+0900,BV0169,10851
2026-04-21 14:00:42.242+0900,BV0065,10771
2026-04-21 14:00:42.517+0900,BV0074,11111
2026-04-21 14:00:42.563+0900,BV0154,10831
2026-04-21 14:00:42.927+0900,BV0333,10811
2026-04-21 14:00:42.969+0900,BV0003,34
2026-04-21 14:00:43.011+0900,BV0392,10631
2026-04-21 14:00:43.217+0900,BV0329,33
2026-04-21 14:00:43.217+0900,BV0213,10851
2026-04-21 14:00:43.218+0900,BV0147,34
2026-04-21 14:00:43.218+0900,BV0169,10851
2026-04-21 14:00:43.292+0900,BV0333,10811
2026-04-21 14:00:43.552+0900,BV0213,10851
2026-04-21 14:00:43.577+0900,BV0065,10771
2026-04-21 14:00:43.683+0900,BV0065,10771
2026-04-21 14:00:44.066+0900,BV0350,10721
2026-04-21 14:00:44.085+0900,BV0332,11121
2026-04-21 14:00:44.367+0900,BV0057,11111
2026-04-21 14:00:44.395+0900,BV0069,33
2026-04-21 14:00:44.783+0900,BV0184,10641
2026-04-21 14:00:45.077+0900,BV0169,10851
2026-04-21 14:00:45.087+0900,BV0350,10721
2026-04-21 14:00:45.105+0900,BV0065,10771
2026-04-21 14:00:45.203+0900,BV0329,33
2026-04-21 14:00:45.396+0900,BV0199,10611
2026-04-21 14:00:45.396+0900,BV0199,3
2026-04-21 14:00:45.601+0900,BV0147,34
2026-04-21 14:00:45.775+0900,BV0350,10721
2026-04-21 14:00:46.342+0900,BV0184,10641
2026-04-21 14:00:46.386+0900,BV0069,33
2026-04-21 14:00:46.408+0900,BV0333,10811
2026-04-21 14:00:46.439+0900,BV0154,10811
2026-04-21 14:00:47.025+0900,BV0065,10771
2026-04-21 14:00:47.344+0900,BV0317,11121
2026-04-21 14:00:47.824+0900,BV0333,10811
2026-04-21 14:00:47.829+0900,BV0169,10851
2026-04-21 14:00:48.209+0900,BV0184,10641
2026-04-21 14:00:48.210+0900,BV0213,10851
2026-04-21 14:00:48.210+0900,BV0199,10611
2026-04-21 14:00:48.210+0900,BV0199,3
2026-04-21 14:00:48.213+0900,BV0147,33
2026-04-21 14:00:48.218+0900,BV0154,10811
2026-04-21 14:00:48.842+0900,BV0199,10611
2026-04-21 14:00:48.842+0900,BV0199,3
2026-04-21 14:00:49.333+0900,BV0065,10771
2026-04-21 14:00:49.388+0900,BV0350,10721
2026-04-21 14:00:50.591+0900,BV0350,10721
