episode_id,start_time,end_time,duration_min,equipment,line,fault_type,severity,status,is_orphan,message_count,message_ids
59,2026-06-21 12:23:06,2026-06-21 12:23:06,0.0,,,리프터,LOW,open,N,1,131
60,2026-06-21 12:43:07,2026-06-21 12:43:07,0.0,,,,LOW,orphan,Y,1,132
61,2026-06-21 16:18:16,2026-06-21 16:18:16,0.0,,,리프터,LOW,open,N,1,133
62,2026-06-21 16:25:57,2026-06-21 16:25:57,0.0,,,리프터,LOW,open,N,1,134
63,2026-06-22 06:30:42,2026-06-22 06:33:54,3.2,4AFC3301,M16,CNV,LOW,open,N,2,135|136
64,2026-06-22 07:36:58,2026-06-22 07:36:58,0.0,,,리프터,LOW,open,N,1,137
65,2026-06-22 07:46:48,2026-06-22 07:46:48,0.0,,,,LOW,orphan,Y,1,138
66,2026-06-22 08:43:40,2026-06-22 08:43:40,0.0,6ABL6031,M16A,브릿지,LOW,open,N,1,139
67,2026-06-22 09:17:21,2026-06-22 09:28:34,11.2,,M16A,CAPA변경,LOW,open,N,3,141|147|148
68,2026-06-22 09:17:34,2026-06-22 09:19:21,1.8,,M14A,CAPA변경,LOW,open,N,3,143|145|146
69,2026-06-22 09:19:01,2026-06-22 09:19:01,0.0,,M14B,CAPA변경,LOW,open,N,1,144
70,2026-06-22 09:36:19,2026-06-22 09:36:19,0.0,,M16A,,LOW,orphan,Y,1,151
71,2026-06-22 09:39:05,2026-06-22 09:39:05,0.0,,M16B,,LOW,orphan,Y,1,152
72,2026-06-22 09:52:15,2026-06-22 09:52:15,0.0,,M14A,CAPA변경,LOW,orphan,Y,1,153
73,2026-06-22 09:52:32,2026-06-22 09:52:32,0.0,,M14A,,LOW,orphan,Y,1,154
74,2026-06-22 10:53:27,2026-06-22 10:53:27,0.0,,,,LOW,orphan,Y,1,155
75,2026-06-22 11:11:00,2026-06-22 11:16:34,5.6,4AFC3201,,정체/병목,LOW,open,N,2,156|157
76,2026-06-23 10:14:19,2026-06-23 10:14:19,0.0,6ABL0112,,리프터,LOW,open,N,1,158
77,2026-06-23 10:22:40,2026-06-23 10:22:40,0.0,,,,LOW,orphan,Y,1,159
78,2026-06-23 11:04:03,2026-06-23 11:04:03,0.0,6ABL0112,,리프터,LOW,open,N,1,160
79,2026-06-23 11:25:43,2026-06-23 11:25:43,0.0,,,,LOW,orphan,Y,1,161
80,2026-06-24 11:58:40,2026-06-24 12:24:11,25.5,4AFC3201,,정체/병목,MED,open,N,2,164|165
81,2026-06-25 12:44:32,2026-06-25 12:44:32,0.0,,,리프터,LOW,open,N,1,168
82,2026-06-25 13:08:43,2026-06-25 13:08:43,0.0,,,,LOW,orphan,Y,1,169
83,2026-06-25 15:07:28,2026-06-25 15:07:28,0.0,6ABL0112,,리프터,LOW,open,N,1,170
84,2026-06-25 15:42:51,2026-06-25 15:42:51,0.0,,,,LOW,orphan,Y,1,171
85,2026-06-29 08:57:01,2026-06-29 08:57:01,0.0,4ABLD112,,,LOW,open,N,1,177
86,2026-06-29 16:22:01,2026-06-29 16:44:35,22.6,6ABL0112,M16A,브릿지,MED,closed,N,2,178|179
87,2026-06-29 16:49:23,2026-06-29 16:49:23,0.0,ZT 4-2호기,M16A,,LOW,open,N,1,180
88,2026-06-29 18:07:52,2026-06-29 18:07:52,0.0,,M16A,CAPA변경,LOW,open,N,1,181
